YEARMONTH,Crime_Count,time,action
2014-01,756,16071,0
2014-02,787,16102,0
2014-03,730,16130,0
2014-04,761,16161,0
2014-05,907,16191,0
2014-06,727,16222,0
2014-07,810,16252,0
2014-08,835,16283,0
2014-09,771,16314,0
2014-10,871,16344,0
2014-11,903,16375,0
2014-12,756,16405,0
2015-01,755,16436,0
2015-02,721,16467,0
2015-03,750,16495,0
2015-04,859,16526,0
2015-05,750,16556,0
2015-06,683,16587,0
2015-07,727,16617,0
2015-08,618,16648,0
2015-09,648,16679,0
2015-10,808,16709,0
2015-11,690,16740,0
2015-12,696,16770,0
2016-01,648,16801,0
2016-02,521,16832,0
2016-03,585,16861,0
2016-04,581,16892,0
2016-05,640,16922,0
2016-06,668,16953,0
2016-07,612,16983,0
2016-08,654,17014,0
2016-09,705,17045,0
2016-10,707,17075,0
2016-11,774,17106,0
2016-12,540,17136,0
2017-01,655,17167,0
2017-02,505,17198,0
2017-03,621,17226,0
2017-04,627,17257,0
2017-05,667,17287,0
2017-06,685,17318,0
2017-07,772,17348,0
2017-08,828,17379,0
2017-09,821,17410,0
2017-10,871,17440,0
2017-11,651,17471,0
2017-12,603,17501,0
2018-01,750,17532,0
2018-02,621,17563,0
2018-03,678,17591,0
2018-04,611,17622,0
2018-05,772,17652,0
2018-06,756,17683,0
2018-07,843,17713,0
2018-08,922,17744,0
2018-09,844,17775,0
2018-10,786,17805,0
2018-11,696,17836,0
2018-12,704,17866,0
2019-01,674,17897,0
2019-02,583,17928,0
2019-03,769,17956,0
2019-04,791,17987,0
2019-05,783,18017,0
2019-06,813,18048,0
2019-07,948,18078,0
2019-08,905,18109,0
2019-09,901,18140,0
2019-10,971,18170,0
2019-11,816,18201,0
2019-12,861,18231,0
2020-01,1000,18262,0
2020-02,849,18293,0
2020-03,909,18322,0
2020-04,978,18353,0
2020-05,853,18383,0
2020-06,755,18414,0
2020-07,808,18444,0
2020-08,764,18475,0
2020-09,932,18506,0
2020-10,944,18536,0
2020-11,713,18567,0
2020-12,667,18597,0
2021-01,657,18628,0
2021-02,504,18659,0
2021-03,644,18687,0
2021-04,552,18718,0
2021-05,602,18748,0
2021-06,571,18779,0
2021-07,689,18809,0
2021-08,798,18840,0
2021-09,849,18871,0
2021-10,771,18901,0
2021-11,778,18932,0
2021-12,728,18962,0
2022-01,646,18993,0
2022-02,708,19024,0
2022-03,883,19052,0
2022-04,756,19083,0
2022-05,812,19113,0
2022-06,739,19144,0
2022-07,735,19174,0
2022-08,775,19205,0
2022-09,769,19236,0
2022-10,813,19266,0
2022-11,863,19297,0
2022-12,776,19327,0
2023-01,797,19358,0
2023-02,667,19389,0
2023-03,751,19417,0
2023-04,856,19448,0
2023-05,776,19478,0
2023-06,742,19509,0
2023-07,711,19539,0
2023-08,719,19570,0
2023-09,650,19601,0
2023-10,688,19631,0
2023-11,626,19662,0
2023-12,615,19692,0
2024-01,612,19723,1
2024-02,518,19754,1
2024-03,648,19783,1
2024-04,616,19814,1
2024-05,678,19844,1
2024-06,691,19875,1
2024-07,656,19905,1
2024-08,680,19936,1
2024-09,565,19967,1
